DateTime,AddedIPs,RemovedIPs
1557630254,0,5
1557630988,8,7
1557631686,4,6
1557632415,6,4
1557633130,4,4
1557633857,5,5
1557634570,4,3
1557635289,3,2
1557636010,1,1
1557636740,7,1
1557637451,2,1
1557638174,5,3
1557638887,3,2
1557639611,5,2
1557640328,1,2
1557641057,3,0
1557641771,2,1
1557642757,5,1
1557643449,3,2
1557644170,1,1
1557644912,3,2
1557645642,5,1
1557646361,2,1
1557647073,5,2
1557647795,5,1
1557648519,0,4
1557649233,4,2
1557649958,3,3
1557650680,0,2
1557651367,2,0
1557652118,2,1
1557652831,4,3
1557653562,3,5
1557654272,2,3
1557654993,2,1
1557655713,6,4
1557656442,1,2
1557657132,4,2
1557657879,5,4
1557658840,5,0
1557659542,0,11
1557660260,5,2
1557660971,4,4
1557661692,2,4
1557662424,5,4
1557663135,4,1
1557663849,3,3
1557664573,2,4
1557665289,2,0
1557666039,4,4
1557666731,1,0
1557667464,3,5
1557668169,5,0
1557668894,6,5
1557669618,6,5
1557670332,3,4
1557671053,4,3
1557671768,5,5
1557672505,2,7
1557673215,5,0
1557673940,6,3
1557674653,2,0
1557675372,6,8
1557676089,2,0
1557676816,5,2
1557677531,7,2
1557678274,5,5
1557678997,5,5
1557679723,8,2
1557680438,0,4
1557681166,7,2
1557681872,2,5
1557682599,1,2
1557683289,6,0
1557684016,5,0
1557684988,1,13
1557685688,2,2
1557686412,2,4
1557687145,5,3
1557687918,4,3
1557688747,5,2
1557689563,1,5
1557690250,5,4
1557690970,6,2
1557691724,1,3
1557692407,6,9
1557693139,1,5
1557693854,5,2
1557694569,1,0
1557695315,4,7
1557696046,3,1
1557696761,1,5
1557697472,5,5
1557698194,1,4
1557698913,4,2
1557699640,2,4
1557700355,6,4
1557701075,1,3
1557703499,13,9
1557704168,4,7
1557704893,5,7
1557705615,4,4
1557706359,2,2
1557707049,5,3
1557707771,2,5
1557708740,6,12
1557709453,3,7
1557710173,9,1
1557710886,7,9
1557711638,14,5
1557712327,5,8
1557713062,5,7
1557713773,12,13
1557714737,9,5
1557715449,3,8
1557716171,10,7
1557717163,7,6
1557717848,4,5
1557718573,2,3
1557719290,1,5
1557720023,7,5
1557720733,5,4
1557721452,9,4
1557722169,4,2
1557722900,3,1
1557723629,3,1
1557724356,2,1
1557725073,1,4
1557725794,3,4
1557726517,3,0
1557727240,1,2
1557727931,6,5
1557728657,4,6
1557729639,7,4
1557730330,4,2
1557731056,0,4
1557731775,2,3
1557732494,2,0
1557733209,2,2
1557733928,5,3
1557734654,3,4
1557735372,3,1
1557736113,4,1
1557736831,3,2
1557737557,2,3
1557738276,6,4
1557738997,4,2
1557739711,2,1
1557740436,5,4
1557741155,4,0
1557741878,5,4
1557743556,3,4
1557744281,1,0
1557744992,5,1
1557745943,3,3
1557746650,5,0
1557747372,3,3
1557748098,3,3
1557748823,2,3
1557749554,1,4
1557750275,3,3
1557750996,1,4
1557751714,8,4
1557752501,5,5
1557753145,4,2
1557753864,3,5
1557754569,0,3
1557755293,4,3
1557756099,3,0
1557756741,5,3
1557757479,5,3
1557758112,1,0
1557759162,7,7
1557759886,1,4
1557760595,4,5
1557761318,7,2
1557762033,4,1
1557762824,7,2
1557763453,1,5
1557764205,0,4
1557764912,12,3
1557765645,4,5
1557766355,3,1
1557767079,3,0
1557767774,4,4
1557768499,2,8
1557769234,1,3
1557769958,9,0
1557770923,0,7
1557771606,5,0
1557772338,4,4
1557773056,2,7
1557773771,1,2
1557774515,3,5
1557775238,6,4
1557775967,3,5
1557776674,2,1
1557777393,5,4
1557778848,7,7
1557779565,7,7
1557780273,3,4
1557781000,5,8
1557781716,1,0
1557782437,2,3
1557783160,4,4
1557784122,5,3
1557784842,5,3
1557785536,1,5
1557786253,5,6
1557786971,3,4
1557787691,5,1
1557788426,3,1
1557789137,0,4
1557789877,9,1
1557790596,8,7
1557791317,3,8
1557792040,2,2
1557792735,2,4
1557793451,10,0
1557794180,6,3
1557794891,4,5
1557795631,5,3
1557796335,5,14
1557797061,6,0
1557798040,16,14
1557798754,8,0
1557799480,5,3
1557800203,16,18
1557800917,2,0
1557801608,11,3
1557802331,7,9
1557803060,3,6
1557804046,8,8
1557804743,7,0
1557805452,4,8
1557806167,6,0
1557806920,1,11
1557807630,5,3
1557808362,5,1
1557809076,3,0
1557809774,1,1
1557810495,3,4
1557811211,5,0
1557811934,4,1
1557812653,1,2
1557813366,3,1
1557814095,4,3
1557814810,5,6
1557815546,9,6
1557816267,3,0
1557816987,3,7
1557817963,0,3
1557818649,7,1
1557819627,4,2
1557820328,4,4
1557821052,1,2
1557821809,6,4
1557822512,1,4
1557823237,1,5
1557824178,8,1
1557824914,5,7
1557825645,8,4
1557826362,3,2
1557827073,5,0
1557827799,6,4
1557828512,1,0
1557829235,1,2
1557829959,5,3
1557830677,5,1
1557831402,3,2
1557832139,1,6
1557832835,4,3
1557833561,7,1
1557834255,4,3
1557834968,6,5
1557835698,1,1
1557836418,3,4
1557837151,6,2
1557837850,3,6
1557838602,1,1
1557839563,2,26
1557840250,4,0
1557840979,2,5
1557841963,5,2
1557842677,3,6
1557843404,5,3
1557844087,7,1
1557845064,6,1
1557845716,4,2
1557846519,2,1
1557847211,6,2
1557847951,3,6
1557848922,4,29
1557849610,6,0
1557850334,1,5
1557851058,4,4
1557852019,9,2
1557852761,6,4
1557853452,2,1
1557854172,2,3
1557854891,6,2
1557855615,1,4
1557856335,11,3
1557857051,8,1
1557857775,2,1
1557858495,6,4
1557859211,4,4
1557859939,5,0
1557860924,3,1
1557861606,7,2
1557862365,4,4
1557863053,4,3
1557863784,2,5
1557864762,8,13
1557865474,3,3
1557866197,2,4
1557866916,3,4
1557867643,4,5
1557868337,5,0
1557869092,6,4
1557869796,5,5
1557870526,6,1
1557871285,4,0
1557871946,7,3
1557872892,7,2
1557873613,1,4
1557874372,2,2
1557875052,4,4
1557875792,7,2
1557876487,3,6
1557877211,9,5
1557877930,9,4
1557878667,7,1
1557879375,6,4
1557880115,12,5
1557880832,14,9
1557881560,4,6
1557882277,3,4
1557882998,5,5
1557883712,11,7
1557884434,9,8
1557885158,7,10
1557885853,3,10
1557886578,11,10
1557887293,2,8
1557888034,5,4
1557888757,5,6
1557889725,3,7
1557890407,5,4
1557891146,6,4
1557891859,5,7
1557892571,5,2
1557893564,5,13
1557894250,5,0
1557894978,2,7
1557895694,1,0
1557896419,4,1
1557897131,4,1
1557897852,3,4
1557898569,3,0
1557899296,2,3
1557900014,1,0
1557900766,1,8
1557901449,1,0
1557902178,1,4
1557902889,2,0
1557903616,4,3
1557904331,4,3
1557905079,1,8
1557905772,5,2
1557906499,2,1
1557907211,1,0
1557907959,1,3
1557909373,4,4
1557910093,2,0
1557910814,0,1
1557911532,1,6
1557912261,5,0
1557912968,3,5
1557913693,2,5
