DateTime,AddedIPs,RemovedIPs
1557638644,1,167
1557639722,1,0
1557640564,71,0
1557640923,2,0
1557642124,5,0
1557642723,69,61
1557643323,1,0
1557644549,1,0
1557645723,0,1
1557646804,71,49
1557646922,1,0
1557648149,2,3
1557648724,0,49
1557649323,2,0
1557650642,96,0
1557651122,2,0
1557651724,3,0
1557652563,62,9
1557652923,1,0
1557654122,27,0
1557654483,0,109
1557655410,5,2
1557656523,1,0
1557657874,672,736
1557658322,97,0
1557659009,1,1
1557660243,73,62
1557661323,1,0
1557662523,1,0
1557662609,0,1
1557664923,2,0
1557666020,60,113
1557666123,1,0
1557666210,0,2
1557667322,8,0
1557667922,70,0
1557668522,1,0
1557669810,1,2
1557670923,19,0
1557671523,11,0
1557672003,71,55
1557672122,17,0
1557672722,13,0
1557673323,14,0
1557673923,12,57
1557674522,33,0
1557675845,74,1
1557676322,2,0
1557676950,1,1
1557679322,2,0
1557679683,76,57
1557680550,0,1
1557681723,8,0
1557682323,3,0
1557683523,67,129
1557684123,3,0
1557684150,0,1
1557684723,3,0
1557685323,1,0
1557686522,7,0
1557687363,96,0
1557687750,3,1
1557688323,5,0
1557688922,7,0
1557689523,1,0
1557690123,4,0
1557691222,76,162
1557691350,1,0
1557691922,1,0
1557692523,3,0
1557693122,85,0
1557693723,1,0
1557695042,78,27
1557695523,1,0
1557696122,2,0
1557696722,3,0
1557696963,135,185
1557697323,1,0
1557697922,1,0
1557698550,2,0
1557698970,0,1
1557700803,57,119
1557700922,2,0
1557701522,9,0
1557703455,93,120
1557704522,1,0
1557705750,0,1
1557706922,1,0
1557707283,0,107
1557707522,3,0
1557708722,1,0
1557709211,53,0
1557710162,0,79
1557711124,64,0
1557713010,1,1
1557714124,2,0
1557714962,78,11
1557715322,6,0
1557716551,2,4
1557717123,1,0
1557717842,2,168
1557719042,98,0
1557719763,0,105
1557720211,0,2
1557722523,7,0
1557722882,88,0
1557723123,3,0
1557723750,1,0
1557724923,11,0
1557725523,3,79
1557726123,1,0
1557726722,91,0
1557727322,16,0
1557727350,0,1
1557728522,2,0
1557729123,2,0
1557729722,4,0
1557730322,2,0
1557730563,75,13
1557731011,4,4
1557731524,1,129
1557733322,4,0
1557734409,89,0
1557734611,2,0
1557735123,1,0
1557735723,2,0
1557736564,69,14
1557736923,3,0
1557738123,3,0
1557739443,1,117
1557739923,3,0
1557740402,75,0
1557740522,1,0
1557741723,3,0
1557742923,1,0
1557744242,78,11
1557744987,1249,198
1557745322,6,0
1557745923,0,1
1557746163,11,51
1557746522,3,0
1557747123,1,0
1557748082,63,44
1557748323,3,0
1557748922,1,0
1557749014,1,1
1557750012,0,63
1557750123,2,0
1557751921,64,0
1557753723,17,0
1557754322,1,0
1557756082,75,120
1557756722,6,0
1557757944,84,1
