DateTime,AddedIPs,RemovedIPs
1557456014,116,14
1557458184,20,22
1557460122,25,19
1557460303,256,378
1557462024,24,14
1557462087,83,66
1557462858,91,0
1557463932,15,17
1557464429,59,0
1557465855,29,17
1557466228,104,281
1557467770,28,28
1557469710,257,245
1557470605,99,147
1557471655,41,22
1557471769,72,0
1557473556,52,21
1557475456,32,13
1557476447,228,335
1557477378,38,20
1557477457,124,0
1557479312,37,35
1557480216,79,0
1557481236,107,94
1557481529,78,58
1557483136,27,1327
1557484007,131,562
1557485056,38,47
1557485405,88,832
1557487233,653,1
1557489156,246,14
1557491051,29,20
1557491428,196,279
1557492993,153,213
1557494129,132,95
1557494889,35,23
1557496814,43,22
1557497727,269,209
1557497926,765,0
1557498734,32,26
1557499519,105,2
1557500684,150,190
1557501686,116,92
1557502608,34,26
1557503164,119,0
1557504525,19,34
1557505331,255,256
1557506438,212,169
1557508333,289,21
1557509704,260,207
1557510249,49,30
1557511637,91,327
1557512175,29,281
1557513139,230,1
1557514091,34,21
1557514785,328,140
1557516023,23,33
1557517955,189,101
1557519851,25,35
1557520205,184,257
1557521818,179,179
1557523267,128,76
1557523690,24,34
1557525015,99,166
1557525624,28,41
1557528783,118,323
1557530682,610,0
1557531003,578,146
1557532597,34,15
1557533481,160,323
1557534018,0,249
1557534491,22,16
1557536442,169,167
1557537576,159,59
1557538361,22,11
1557540267,23,17
1557540928,249,19
1557542201,14,26
1557542729,144,51
1557544116,16,17
1557545006,226,275
1557546018,16,25
1557546755,103,142
1557547948,19,33
1557548141,55,84
1557549853,18,21
1557551171,144,127
1557551778,21,26
1557553695,18,29
1557555623,23,21
1557556296,263,245
1557557533,7,26
1557558029,48,480
1557559457,16,24
1557561369,34,31
1557562670,357,357
1557563293,18,39
1557565231,16,37
1557565556,133,23
1557567387,28,40
1557569313,138,1665
1557569728,124,314
1557571234,33,39
1557571528,150,0
1557572262,81,149
1557573140,607,0
1557574228,99,63
1557575061,32,22
1557577004,149,121
1557578897,16,13
1557580700,33,15
1557582737,338,259
1557584653,536,1492
1557585910,255,212
1557586575,31,21
1557587739,116,237
1557588491,285,17
1557589324,76,164
1557590458,25,30
1557591165,86,345
1557592336,34,23
1557593027,95,93
1557594266,14,15
1557596172,30,30
1557598095,16,27
1557598808,255,230
1557600256,32,31
1557602177,24,34
1557602589,309,141
1557604092,16,32
1557606024,287,394
1557607560,240,136
1557607930,22,30
1557609860,144,85
1557611770,30,40
1557612033,124,0
1557613692,18,26
