DateTime,Entries,UniqueIPs
1557669093,107799,9398695
1557670126,107804,9398700
1557670534,107799,9398695
1557671252,107801,9398697
1557672039,107795,9398691
1557672693,107795,9398691
1557673412,107798,9398694
1557673936,107787,9398683
1557674372,107788,9398683
1557675093,107789,9398684
1557675875,107783,9398678
1557676293,107782,9398677
1557677013,107786,9398681
1557677809,107788,9398682
1557678214,107783,9398677
1557678934,107786,9398680
1557679720,107793,9398687
1557680373,107796,9398690
1557681093,107796,9398690
1557681622,107797,9398691
1557681814,107787,9398681
1557683014,107814,9398708
1557683533,107823,9398717
1557683733,107822,9398716
1557684513,107823,9398716
1557685172,107820,9398713
1557685466,107822,9398714
1557685892,107825,9398717
1557686671,107829,9398721
1557687576,107836,9398725
1557687873,107832,9398721
1557688714,107830,9398719
1557689559,107835,9398724
1557690453,107829,9398718
1557691721,107827,9398716
1557692613,107820,9398709
1557693333,107820,9398709
1557693612,107834,9398723
1557694053,107831,9398720
1557695253,107834,9398723
1557695787,107835,9398724
1557695973,107827,9398716
1557696693,107821,9398710
1557697412,107823,9398712
1557697697,107824,9398713
1557698133,107815,9398704
1557698853,107817,9398706
1557699637,107826,9398716
1557700293,107828,9398718
1557701013,107822,9398712
1557701551,107828,9398718
1557703496,107844,9398735
1557703893,107835,9398726
1557705093,107838,9398729
1557705372,107843,9398734
1557706774,107833,9398724
1557707302,107840,9398732
1557707494,107841,9398733
1557708213,107840,9398508
1557709242,107842,9398511
1557709653,107834,9398503
1557710373,107830,9398499
1557711163,107843,9398513
1557712054,107839,9398509
1557713058,107847,9398517
1557713493,107842,9398512
1557714214,107841,9398511
1557714998,107832,9398500
1557715652,107830,9398498
1557716169,107834,9398502
1557717573,107827,9398495
1557718293,107823,9398491
1557719075,107822,9398489
1557719493,107816,9398483
1557720212,107820,9398487
1557720999,107823,9398489
1557721652,107819,9398485
1557722373,107818,9398484
1557722897,107831,9398497
1557724294,107830,9398496
1557724821,107842,9398510
1557725012,107837,9398505
1557725733,107837,9398505
1557726452,107837,9398505
1557726732,107838,9398505
1557727653,107824,9398492
1557728372,107824,9398492
1557728654,107819,9398487
1557730053,107817,9398485
1557730571,107821,9398490
1557730836,107822,9398491
1557731973,107812,9398481
1557732491,107821,9398490
1557732692,107819,9398488
1557733654,107821,9398490
1557734468,107831,9398500
1557734913,107831,9398500
1557736053,107835,9398504
1557736593,107839,9398508
1557736773,107835,9398505
1557737494,107840,9398510
1557738213,107844,9398514
1557738502,107837,9398507
1557738932,107838,9398508
1557739653,107858,9398528
1557740432,107836,9398506
1557741094,107831,9398501
1557741813,107834,9398504
1557742344,107837,9398507
1557742773,107831,9398501
1557743493,107835,9398505
1557744278,107844,9398515
1557744693,107832,9398503
1557745470,107841,9398512
1557746196,107849,9398520
1557746852,107844,9398515
1557747573,107844,9398515
1557748095,107854,9398526
1557748293,107855,9398527
1557749493,107855,9398527
1557750041,107859,9398530
1557750213,107857,9398528
1557750934,107849,9398520
1557751654,107839,9398510
1557751931,107837,9398507
1557753332,107887,9398558
1557753870,107889,9398551
1557754052,107946,9398609
1557754773,107984,9398648
1557755493,108033,9398698
1557756096,108045,9398710
1557756932,108089,9398755
1557757652,108135,9398803
1557758109,108134,9398802
1557758372,108140,9398808
1557759092,108198,9398866
1557759813,108198,9398866
1557760344,108197,9398866
1557760533,108239,9398909
1557761253,108242,9398914
1557761972,108237,9398909
