DateTime,AddedIPs,RemovedIPs
1557550816,757,816
1557551717,664,597
1557552617,725,679
1557553516,663,679
1557554413,748,734
1557555316,596,828
1557556213,660,813
1557557116,916,972
1557558017,802,811
1557558914,656,778
1557559816,661,789
1557560719,578,586
1557561612,522,749
1557562520,606,680
1557563416,689,801
1557564315,896,1116
1557565216,695,674
1557566117,645,609
1557567022,796,700
1557568820,1473,1284
1557569715,646,498
1557570614,861,720
1557571513,727,655
1557572421,812,600
1557573318,902,628
1557574216,867,577
1557575118,837,772
1557576018,766,552
1557576914,928,539
1557577812,889,616
1557578715,912,819
1557579612,955,674
1557580513,796,826
1557581413,827,928
1557582313,854,969
1557583218,1022,849
1557584116,903,819
1557585012,821,953
1557585916,839,999
1557586814,841,1101
1557587715,868,1063
1557588616,917,894
1557589521,920,1051
1557590415,863,1094
1557591321,818,880
1557592221,829,819
1557593115,870,757
1557594019,730,916
1557594920,902,823
1557595824,835,926
1557596713,852,762
1557597615,799,670
1557598515,733,887
1557599414,716,737
1557600322,746,830
1557601220,814,681
1557602115,847,529
1557603012,806,724
1557603914,734,644
1557604816,861,807
1557605712,701,656
1557606613,706,573
1557607518,792,761
1557608415,876,630
1557609316,924,579
1557610212,835,738
1557611114,778,850
1557612014,792,785
1557612915,706,623
1557613813,652,816
1557614712,826,816
1557615620,723,665
1557616516,724,650
1557617413,856,859
1557618313,775,955
1557619211,738,885
1557620113,715,772
1557621018,881,900
1557621913,752,847
1557622814,798,770
1557623719,847,879
1557624616,799,799
1557625511,753,907
1557626419,747,836
1557627351,756,676
1557628213,783,857
1557629115,769,730
1557630014,731,752
1557630914,767,689
1557631816,774,730
1557632715,837,762
1557633613,757,880
1557634513,788,814
1557635418,777,1040
1557636312,724,796
1557637215,872,860
1557638116,793,860
1557639012,799,969
1557639911,757,763
1557640814,674,858
1557641712,749,714
1557642614,742,752
1557643513,708,725
1557644413,848,699
1557645312,692,851
1557646212,862,803
1557647114,1049,731
1557648014,856,866
1557648914,755,878
1557649813,772,747
1557650715,664,677
1557651612,748,794
1557652513,778,646
1557653413,834,667
1557654312,759,815
1557655213,815,1081
1557656114,846,878
1557657015,848,607
1557657917,762,734
1557658814,741,744
1557659713,666,860
1557660613,713,870
1557661512,949,931
1557662412,868,782
1557663314,749,780
1557664215,794,969
1557665113,664,870
1557666016,818,750
1557666914,691,807
1557667815,631,682
1557668719,698,874
1557669613,711,915
1557670516,720,772
1557671415,737,961
1557672313,678,678
1557673214,771,707
1557674115,739,683
1557675014,866,632
1557675916,789,646
1557676813,771,557
1557677714,815,777
1557678614,806,504
1557679513,746,491
1557680413,1059,717
1557681316,1068,901
1557682214,1066,831
1557683114,1081,825
1557684015,1043,809
1557684920,1103,867
1557685813,1082,1065
1557686713,1029,941
1557687619,964,952
1557688515,1098,927
1557689415,1367,1218
1557690313,1105,1138
1557691217,970,1070
1557692117,954,927
1557693013,956,977
1557693912,876,803
1557694815,966,977
1557695715,968,976
1557696618,926,1058
1557697516,974,980
1557698412,891,893
1557699314,896,1144
1557700212,816,1257
1557701114,883,1007
1557702914,1738,1682
1557703812,889,844
1557704716,839,1021
1557705615,834,927
1557706516,798,888
1557707417,922,1039
1557708317,821,731
1557709214,886,834
1557710113,846,1093
1557711018,783,1044
1557711917,835,829
1557712813,774,784
1557713754,694,666
1557714615,750,968
1557715515,721,632
1557716413,803,768
1557717314,691,987
1557718217,661,799
1557719116,708,724
1557720013,739,787
1557720919,774,924
1557721813,715,881
1557722714,772,749
1557723615,712,865
1557724513,708,807
1557725417,795,601
1557726312,740,722
1557727214,833,816
1557728113,815,814
1557729016,834,767
1557729912,746,806
1557730812,842,644
1557731714,770,664
1557732616,914,672
1557733515,708,757
1557734414,1886,869
1557735314,1182,984
1557736214,844,872
1557737112,757,663
1557738014,792,738
1557738915,795,635
1557739812,729,873
1557740716,708,856
1557741614,805,1104
1557742512,647,1413
1557743413,779,906
1557744314,697,759
1557745214,733,639
1557746114,642,752
1557747014,718,838
1557747914,701,620
1557748814,646,650
1557749712,592,676
1557750611,735,691
1557751514,626,562
1557752415,769,581
1557753313,646,648
1557754213,701,672
1557755117,544,669
1557756014,526,541
1557756914,553,675
1557757813,555,691
1557758715,626,556
1557759613,573,558
1557760515,644,637
1557761412,638,669
1557762313,592,718
1557763213,726,658
1557764113,600,655
1557765014,675,668
1557765912,613,807
1557766813,769,756
1557767713,591,876
1557768614,602,712
1557769513,566,829
1557770414,561,814
1557771314,565,803
1557772213,670,672
1557773111,608,611
1557774013,600,504
1557774913,614,777
1557775813,575,580
1557776712,357,651
1557777614,381,564
1557778513,1713,725
1557779415,2507,1165
1557780314,1995,780
1557781219,1522,764
1557782115,1230,594
1557783018,1060,422
1557783913,989,1174
1557784812,878,1369
1557785714,827,1619
1557786612,966,1733
1557787516,1144,1347
1557788412,1193,1145
1557789313,1115,883
1557790214,1137,872
1557791114,996,1125
1557792012,1108,816
1557792913,1012,808
1557793814,938,965
1557794713,1036,1017
1557795617,1023,1215
1557796513,1037,1239
1557797412,1039,818
1557798315,1095,889
1557799217,935,1126
1557800114,1028,1094
1557801015,1045,894
1557801914,1011,1173
1557802814,1095,847
1557803716,1020,901
1557804614,951,1409
1557805515,1003,1000
1557806413,993,889
1557807314,1081,1200
1557808213,966,1201
1557809117,933,734
1557810014,984,1430
1557810913,1007,770
1557811816,994,611
1557812715,935,741
1557813614,870,782
1557814513,980,865
1557815415,1010,923
1557816314,1065,737
1557817216,1070,648
1557818113,1049,987
1557819015,1042,1022
1557819916,989,1395
1557820813,1057,1100
1557821714,932,1209
1557822616,1076,1008
1557823515,1206,1089
1557824416,1104,1193
1557825312,1267,1086
1557826213,1224,921
1557827119,1183,735
1557828015,1168,785
1557828913,1302,788
1557829816,1305,930
1557830716,1125,997
1557831612,1171,1064
1557832515,1066,1065
1557833413,1220,980
1557834315,1145,1045
1557835212,1058,1182
1557836115,1144,1233
1557837016,1180,1268
1557837912,1087,1407
1557838816,1139,1057
1557839711,1262,933
1557840614,1308,1095
1557841514,1285,1061
1557842413,1212,1058
1557843316,1103,1505
1557844213,1262,1049
1557845112,1096,1230
1557846015,1186,1323
1557846916,1289,1214
1557847815,1351,1378
1557848712,1203,1742
1557849612,1173,1605
1557850512,1177,1670
1557851413,1178,1444
1557852311,1190,1615
1557853212,1079,1580
1557854112,1045,1596
1557855014,1123,1493
1557855912,1036,1294
1557856816,1028,1065
1557857715,1041,1251
1557858613,1025,1005
1557859512,1045,1119
1557860414,986,773
1557861315,935,952
1557862215,898,953
1557863112,872,899
1557864015,950,855
1557864915,983,885
1557865812,923,1048
1557866714,899,945
1557867616,1203,989
1557868513,1228,858
1557869414,1147,829
1557870315,1245,881
1557871215,1092,1006
1557872114,1194,1199
1557873014,1134,988
1557873914,1006,843
1557874814,1165,907
1557875714,1066,1025
1557876613,1183,961
1557877516,1129,879
1557878413,1053,984
1557879316,1090,803
1557880214,1007,826
1557881113,973,830
1557882016,1046,975
1557882914,1145,912
1557883812,1029,1160
1557884715,1008,1092
1557885613,1042,1221
1557886514,1100,1170
1557887413,987,1123
1557888314,1016,1001
1557889217,1046,951
1557890117,990,933
1557891014,1067,1045
1557891913,1154,1091
1557892816,1024,1111
1557893715,1040,1179
1557894614,1002,1068
1557895512,1065,1240
1557896416,1027,1093
